track,tot_sales
It's The End Of The World As We Know It (And I Feel Fine),1
It's So Easy,1
It's Only Love,1
It's Late,1
It's Just A Thought,1
It's A Man's Man's Man's World,1
It's A Hard Life,1
It Was A Very Good Year,1
It Doesn't Matter,1
It Ain't Like That,1
Iron Man/Children of the Grave,1
Iron Man,1
Ipiranga 2001,1
Invisible Kid,1
Invaders,1
Intro / Stronger Than Me,1
Into The Light,1
Into The Fire,1
Interlude Zumbi,1
Instinto Colectivo,1
Instant Karma,1
Inside Job,1
Insensível,1
Innuendo,1
Infeliz Natal,1
Indios,1
In Your Honor,1
In Bloom,1
If You Have To Ask,1
If You Don't Know Me By Now,1
If God Will Send His Angels,1
Idolatrada,1
I'm Real,1
I'm A Boy,1
I Would Do For You,1
I Was Made For Loving You,1
I Want To Break Free,1
I Want It All,1
I Still Love You,1
I Still Haven't Found What I'm Looking for,1
I Still Haven't Found What I'm Looking For,1
I Remember California,1
I Need Love,1
I Looked At You,1
I Like Dirt,1
I Know Somethin (Bout You),1
I Heard Love Is Blind,1
I Get A Kick Out Of You,1
I Fucking Hate You,1
I Feel Good (I Got You) - Sossego,1
I Don't Wanna Be Kissed (By Anyone But You),1
I Don't Know,1
I Do,1
I Could Have Lied,1
I Could Die For You,1
I Can't Remember,1
I Can't Quit You Baby(2),1
I Can't Quit You Baby,1
I Can See For Miles,1
I Belong To You,1
I Am,1
Hysteria,1
Hypnotize,1
Hush,1
Humans Being,1
How The West Was Won And Where It Got Us,1
How High The Moon,1
Houses Of The Holy,1
House of the Rising Sun,1
Hots On For Nowhere,1
Hot Rockin',1
Hot Dog,1
Hooked Up,1
Honolulu,1
Homem Primata (Vinheta),1
Homem Primata,1
Homely Girl,1
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,1
Homecoming,1
Home Sweet Home,1
Home Sick Home,1
Holy Smoke,1
Holier Than Thou,1
Hit The Lights,1
Hip Hop Rio,1
Highway Chile,1
Higher Ground,1
High Head Blues,1
High Ball Shooter,1
"Hey, Johnny Park!",1
Hey Tonight,1
Hey Joe,1
Hey Hey,1
Hey Cisco,1
Hero,1
Here I Go Again,1
Here I Am (Come And Take Me),1
Hemp Family,1
Help Yourself,1
Hell Ain't A Bad Place To Be,1
Heliopolis,1
Heavy Love Affair,1
Heartland,1
Heartbreaker,1
Heart Of Lothian: Wide Boy / Curtain Call,1
Heart Of Gold,1
Heart In Your Hand,1
Headspace,1
Headlong,1
He Can Only Hold Her,1
Hawkmoon 269,1
Hats Off To (Roy) Harper,1
Harvester Of Sorrow,1
Hard To Handle,1
Hard Luck Woman,1
Happy Jack,1
Hang 'Em High,1
Hands All Over,1
Halloween,1
Hairshirt,1
Guess Who's Back,1
Groovus Interruptus,1
Grito De Alerta,1
"Greetings from Earth, Pt. 2",1
"Greetings from Earth, Pt. 1",1
Green River,1
Green Grow The Rushes,1
Green Disease,1
Gota D'água,1
Got That Feeling,1
Gostava Tanto De Você,1
Gone,1
Going To California,1
Going Down / Highway Star,1
Goin' Blind,1
God Part II,1
God Of Thunder,1
God Gave Rock 'n' Roll To You,1
God,1
Go Down,1
Go Back,1
Go,1
Giz,1
Given To Fly,1
Girl From A Pawnshop,1
Gimmie Shelters,1
Ghost,1
Get What You Need,1
Get Up Offa That Thing,1
Get Up (I Feel Like Being A) Sex Machine,1
Get Right,1
Get Out,1
Get On Top,1
Get On The Snake,1
Get Off Of My Cloud,1
"Get Down, Make Love",1
Genghis Khan,1
Genesis,1
Geek Stink Breath,1
Gavioes 2001,1
Gates Of Urizen,1
Gates Of Tomorrow,1
Gatas Extraordinárias,1
Garota de Ipanema (Dick Farney),1
Garota Nacional,1
Futureal,1
Funky Piano,1
Funk de Bamba,1
Funk Hum,1
Fuel,1
From Out Of Nowhere,1
From Here To Eternity,1
Friends,1
Friend Of A Friend,1
Freewill,1
Freewheel Burning,1
Freedom For My People,1
Free Me,1
Frantic,1
Four Walled World,1
Four Sticks,1
Forty Days Instrumental,1
Fortuneteller,1
Fortunes Of War,1
Fortunate Son,1
Formosa,1
Formigueiro,1
Forgiven,1
Fora Da Ordem,1
For Your Babies,1
For Those About To Rock (We Salute You),1
Fool In The Rain,1
Fly Me To The Moon,1
Fly By Night,1
Flower,1
Flores,1
Flor De Lis,1
Flight Of The Rat,1
Flash of The Blade,1
Flash,1
First Time I Met The Blues,1
Fire + Water,1
Fire,1
Finding My Way,1
Filho Maravilha,1
Fight From The Inside,1
Fica,1
Felicidade Urgente,1
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,1
Feel Your Love Tonight,1
Feel It,1
Fear Is The Key,1
Fates Warning,1
Fat Bottomed Girls,1
Fast As a Shark,1
Fast And Loose,1
Fascinação,1
Fantasia On Greensleeves,1
Família,1
Falling To Pieces,1
Fall To Pieces,1
Falar A Verdade,1
Falando De Amor,1
Faixa Amarela,1
Fairies Wear Boots,1
Fade To Black,1
Faceless,1
Face In The Sand,1
F*Ckin' Up,1
F**k Me Pumps,1
Eye Of The Beholder,1
Eye,1
Extraordinary Girl,1
Extra,1
Expresso 2222,1
Exposé,1
Exploder,1
Experiment In Terra,1
"Exodus, Pt. 2",1
"Exodus, Pt. 1",1
Exodus (Part 2) [Season Finale],1
Evil Woman,1
Evil Ways,1
Evil Walks,1
Evil Dick,1
Everything's Ruined,1
Everything I Need,1
Every Time I Look At You,1
Every Breath You Take,1
Everlong,1
Even Better Than The Real Thing,1
Eu Vim Da Bahia - Live,1
Eu Também Quero Beijar,1
Eu Sou Neguinha (Ao Vivo),1
Eu E Ela,1
Eu Apenas Queria Que Voçê Soubesse,1
Eu Amo Você,1
Etnia,1
Estrela (Live),1
Estranged,1
Esse Cara,1
Esperando Na Janela,1
Era Uma Vez,1
Equinocio,1
Epic,1
Entre E Ouça,1
Entrando Na Sua (Intro),1
Enter 77,1
Enquanto O Dia Não Vem,1
Endgame,1
Encontrar Alguém,1
Email Surveillance,1
Elza,1
Electrolite,1
Eleanor Rigby,1
Elderly Woman Behind The Counter In A Small Town,1
Ela Disse Adeus,1
El Farol,1
Edie (Ciao Baby),1
Eclipse Oculto,1
E.S.P.,1
E.C.T.,1
Dust N' Bones,1
Dujji,1
Duende,1
Duelists,1
Drowning Man,1
Drown Me Slowly,1
Drown,1
Dreams,1
Down Under,1
Down On The Corner,1
Down By The Seaside,1
Doutor,1
Double Talkin' Jive,1
Don't You Cry,1
Don't Stand so Close to Me,1
Don't Look Back,1
Don't Go Back To Rockville,1
Don't Damn Me,1
Don't Cry (Original),1
Don't Cry,1
Domingo,1
Dog Eat Dog,1
Doesn't Remind Me,1
Do what cha wanna,1
Do You Love Me,1
Do You Like The Way,1
Do You Have Other Loves?,1
Do You Feel Loved,1
Do It For The Kids,1
Diwali,1
Divirta-Se (Saindo Da Sua),1
Diversity Day,1
Distractions,1
Dissident,1
Disposable Heroes,1
Disenchanted Lullaby,1
Discotheque,1
Disarm,1
Disappearing Act,1
Dirty Water Dog,1
Dirty Love,1
Dirty Little Thing,1
Din Din Wo (Little Child),1
"Diga Lá, Coração",1
Die With Your Boots On,1
Die Walküre: The Ride of the Valkyries,1
Die Die My Darling,1
Diamonds And Rust (Live),1
Deus Ex Machina,1
Deuce,1
Destitute Illusions,1
Desaforo,1
Departure,1
Denúncia,1
Demorou!,1
Deixa,1
Deeper Underground,1
Deep Waters,1
Dee,1
Dead Horse,1
Dead And Bloated,1
De Ouro E Marfim (Live),1
De Noite Na Cama,1
De La Luz,1
De Ja Vu,1
"De Do Do Do, De Da Da Da",1
Dave,1
Dark Corners,1
Dança Da Solidão,1
"Danny Boy, Danny Boy",1
Dandelion,1
Dancing In The Street,1
Dancing Barefoot,1
Dance Of Death,1
Dance Enquanto é Tempo,1
Dance,1
Damage Inc.,1
Damage Case,1
Da Lama Ao Caos,1
D'Yer Mak'er,1
Cérebro Eletrônico,1
Cuyahoga,1
Cursed Diamonds,1
Cure,1
Cuckoo For Caca,1
Crystal Ball,1
Cry For Love,1
Crumbs From Your Table,1
"Crossroads, Pt. 2",1
"Crossroads, Pt. 1",1
Crossroads,1
Crossfire,1
Cropduster,1
Cristina Nº 2,1
Criança De Domingo,1
Creeping Death,1
Creep,1
Crazy Train,1
Crash Course In Brain Surgery,1
Crackerman,1
Cotton Fields,1
Coroné Antonio Bento,1
Corinna,1
Corduroy,1
Coração do Agreste (Fafá de Belém),1
Coração Em Desalinho,1
Coração De Estudante,1
Copacabana (Live),1
Construção / Deus Lhe Pague,1
Confusion,1
Condição,1
"Concerto for Piano No. 2 in F Minor, Op. 21: II. Larghetto",1
"Concerto for Cello and Orchestra in E minor, Op. 85: I. Adagio - Moderato",1
"Concerto No.2 in F Major, BWV1047, I. Allegro",1
Computadores Fazem Arte,1
Compulsion,1
Company Man,1
Como É Duro Trabalhar,1
Como Estais Amigos,1
Communication Breakdown(2),1
Commercial 2,1
Começaria Tudo Outra Vez,1
Come Fly With Me,1
Coma,1
Com Açúcar E Com Afeto,1
Collaborators,1
Colibri,1
Cold Turkey,1
Cold Gin,1
Cochise,1
Closer To The Heart,1
Clash City Rockers,1
Civil War,1
Cinema Mudo,1
Cigaro,1
Cigano,1
Chão de Giz (Elba Ramalho),1
Chão De Estrelas,1
Christmas Party,1
Children of the Damned,1
Childhoods End?,1
Child In Time,1
Chega no Suingue,1
Charles Anjo 45,1
Chapa o Coco,1
Chaos-Control,1
Changes,1
Chains Of Misery,1
Caçador de Mim (Sá & Guarabyra),1
Caught Somewhere in Time,1
Cathedral,1
Catch-22,1
Caso Você Queira Saber,1
Cascades : I'm Not Your Lover,1
Casa no Campo,1
Casa,1
Carta Ao Tom 74,1
Carouselambra,1
Carolina Hard-Core Ecstasy,1
Carolina,1
Carol,1
Carnival Of Sorts,1
Caras Como Eu,1
Caprichosos,1
Canário Do Reino,1
Canto De Ossanha,1
"Canta, Canta Mais",1
Canon and Gigue in D Major: I. Canon,1
Can't Stop Loving You,1
Can't Stop,1
Can't Stand Losing You,1
Can't Keep,1
Can't Get There From Here,1
Can You See Me,1
Camisa Verde 2001,1
Camarão que Dorme e Onda Leva,1
Call Me a Dog,1
Californication,1
Cafezinho,1
C'Mon Everybody,1
Bê-a-Bá,1
"Bye, Bye Brasil",1
Bye Bye Blackbird,1
By The Way,1
Bush Doctor,1
Busca Vida,1
Burn Away,1
Burden In My Hand,1
Bullet The Blue Sky,1
Brumário,1
Bring Your Daughter... To The Slaughter,1
Bring Your Daughter... ...To The Slaughter,1
Bring Me Your Cup,1
Brighter Than a Thousand Suns,1
Breed,1
Breathe,1
Breakthru,1
Breaking The Rules,1
Breadfan,1
Brave New World,1
Brasília 5:31,1
Brain Stew,1
Brain Damage,1
Boulevard Of Broken Dreams,1
Bossa,1
Born to Run,1
Born To Move,1
Born On The Bayou,1
Bored To Tears,1
Bora-Bora,1
Bop Boogie,1
Book Of Thel,1
Boogie With Stu,1
Boogie Blues,1
Bohemian Rhapsody,1
Body Count's In The House,1
Body Count Anthem,1
Body Count,1
Blues For Pablo (Alternate Take),1
Blue Train,1
Blow Your Mind,1
Blood On The World's Hands,1
Blood In The Wall,1
Blitzkrieg,1
Blissed & Gone,1
Blind Man,1
Bleeding Me,1
Bleed Together,1
Bleed The Freak,1
Blackened,1
Black Satin,1
Black Night,1
Black Mountain Side,1
Black Moon Creeping,1
Black Light Syndrome,1
Black Hole Sun,1
Black Diamond,1
Black Capricorn Day,1
Black,1
Bittersweet Me,1
Billie Jean,1
Big Machine,1
Bicycle Race,1
Better Halves,1
Beth,1
Best Thing,1
Berimbau,1
Bell Bottom Blues,1
Believer,1
Beijo Partido,1
Beija-Flor,1
Been A Son,1
Beach Sequence,1
Be Mine,1
Be Good Johnny,1
Be Aggressive,1
"Battlestar Galactica, Pt. 2",1
"Battlestar Galactica, Pt. 1",1
Bass Trap,1
Bark at the Moon,1
Bankrobber,1
"Baltimore, DC",1
Baltar's Escape,1
Balanço,1
Badge,1
"Bad, Bad Leroy Brown",1
Bad Seed,1
Bad Obsession,1
Bad Moon Rising,1
Bad,1
Back to Black,1
Back off Bitch,1
Back in the Village,1
Back from Vacation,1
Back Door Man,1
Babyface,1
Baba O'Riley,1
B.Y.O.B.,1
Avisa,1
Ava Adore,1
Attitude,1
Atrás da Porta,1
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,1
Atras Da Porta,1
Atomic Punk,1
Astronomy,1
Assum Preto,1
Assim Caminha A Humanidade,1
Assaltaram A Gramática,1
Ashes To Ashes,1
As We Sleep,1
As Tears Go By,1
As Profecias,1
As Dores do Mundo,1
As Aparências Enganam,1
Around The World,1
Army Ants,1
Armadura,1
Are You Gonna Go My Way,1
Are You Gonna Be My Girl,1
Are We The Waiting,1
Arc,1
Aquilo,1
Aquele Abraço,1
Aprendendo A Jogar,1
Apesar De Você,1
Aos Leões,1
"Anyway, Anyhow, Anywhere",1
Anything Goes,1
Any Colour You Like,1
Anthem,1
Another One Bites The Dust,1
Another Life,1
Angela,1
Angel Of Harlem,1
Angel,1
Amy Amy Amy (Outro),1
Amor Demais,1
American Woman,1
American Idiot,1
Amazing,1
Amanhã Não Se Sabe,1
Am I Evil?,1
"Alô, Alô, Marciano",1
"Always With Me, Always With You",1
Aloha,1
All Within My Hands,1
All Star,1
All Night Thing,1
All My Love,1
All I Really Want,1
All For You,1
"All Dead, All Dead",1
All Because Of You,1
Alive,1
Ali,1
Alberta,1
Ain't Talkin' 'bout Love,1
Ain't My Bitch,1
Agora Que O Dia Acordou,1
Age Of Innocence,1
After Midnight,1
Aeroplane Flies High,1
Advance Romance,1
Adrift,1
Admirável Gado Novo,1
Adios nonino,1
Action,1
"Act IV, Symphony",1
Acrobat,1
Achilles Last Stand,1
Abrir A Porta,1
A.N.D.R.O.T.A.Z.,1
A Twist In The Tail,1
A Touch Away,1
A Sua,1
A Statistic,1
A Small Victory,1
A Paz,1
A Noite Do Meu Bem,1
A Moça e a Chuva,1
"A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno",1
A Menina Dança,1
A Man And A Woman,1
A Kind Of Magic,1
A Festa Do Santo Reis,1
A Day In the Life,1
A Cura,1
"A Benihana Christmas, Pts. 1 & 2",1
A Bencao E Outros,1
A Banda,1
5.15,1
32 Dentes,1
2 X 4,1
2 A.M.,1
14 Years,1
1/2 Full,1
09 - Iron Maiden,1
05 - Phantom of the Opera,1
04 - Running Free,1
01 - Prowler,1
...And Justice For All,1
...And Found,1
(Wish I Could) Hideaway,1
(White Man) In Hammersmith Palais,1
(Anesthesia) Pulling Teeth,1
'Round Midnight,1
#9 Dream,1
"""?""",1
